ExploGID,Exploration,Log_URL,Grnd_El_ft,TD_ft,TD_El_ft,BOH_GeoUnit,Fill_Dp_Up_ft,Fill_Dp_Lw_ft,Fill_El_Up_ft,Fill_El_Lw_ft,Qvr_Dp_Up_ft,Qvr_Dp_Lw_ft,Qvr_El_Up_ft,Qvr_El_Lw_ft,Qvrl_Dp_Up_ft,Qvrl_Dp_Lw_ft,Qvrl_El_Up_ft,Qvrl_El_Lw_ft,Qvi_Dp_Up_ft,Qvi_Dp_Lw_ft,Qvi_El_Up_ft,Qvi_El_Lw_ft,QviQvt_Dp_Up_ft,QviQvt_Dp_Lw_ft,QviQvt_El_Up_ft,QviQvt_El_Lw_ft,Qvt_Dp_Up_ft,Qvt_Dp_Lw_ft,Qvt_El_Up_ft,Qvt_El_Lw_ft,QvisQva_Dp_Up_ft,QvisQva_Dp_Lw_ft,QvisQva_El_Up_ft,QvisQva_El_Lw_ft,Qva_Dp_Up_ft,Qva_Dp_Lw_ft,Qva_El_Up_ft,Qva_El_Lw_ft,QvaQpvg_Dp_Up_ft,QvaQpvg_Dp_Lw_ft,QvaQpvg_El_Up_ft,QvaQpvg_El_Lw_ft,Qo_Dp_Up_ft,Qo_Dp_Lw_ft,Qo_El_Up_ft,Qo_El_Lw_ft,QoQpo_Dp_Up_ft,QoQpo_Dp_Lw_ft,QoQpo_El_Up_ft,QoQpo_El_Lw_ft,Qpo_Dp_Up_ft,Qpo_Dp_Lw_ft,Qpo_El_Up_ft,Qpo_El_Lw_ft,Qpog_Dp_Up_ft,Qpog_Dp_Lw_ft,Qpog_El_Up_ft,Qpog_El_Lw_ft,Qpvg_Dp_Up_ft,Qpvg_Dp_Lw_ft,Qpvg_El_Up_ft,Qpvg_El_Lw_ft,QpvgQpy_Dp_Up_ft,QpvgQpy_Dp_Lw_ft,QpvgQpy_El_Up_ft,QpvgQpy_El_Lw_ft,Qpy_Dp_Up_ft,Qpy_Dp_Lw_ft,Qpy_El_Up_ft,Qpy_El_Lw_ft,Qppyg_Dp_Up_ft,Qppyg_Dp_Lw_ft,Qppyg_El_Up_ft,Qppyg_El_Lw_ft,Qppyn_Dp_Up_ft,Qppyn_Dp_Lw_ft,Qppyn_El_Up_ft,Qppyn_El_Lw_ft
GlobalID,Exploration,Log,"GS Elev
(ft)","TD BGS
(ft)","TD Elev
(ft)",BOH Geo Unit,"Fill Depth
Upper
(ft)","Fill Depth
Lower
(ft)","Fill Elev
Upper
(ft)","Fill Elev
Lower
(ft)","Qvr Depth Upper
 (ft)","Qvr Depth Lower
 (ft)","Qvr Elev Upper
 (ft)","Qvr Elev Lower
 (ft)","Qvrl Depth Upper
 (ft)","Qvrl Depth Lower
 (ft)","Qvrl Elev Upper
 (ft)","Qvrl Elev Lower
 (ft)","Qvi Depth Upper
 (ft)","Qvi Depth Lower
 (ft)","Qvi Elev Upper
 (ft)","Qvi Elev Lower
 (ft)","Qvi-Qvt Depth Upper
 (ft)","Qvi-Qvt Depth Lower
 (ft)","Qvi-Qvt Elev Upper
 (ft)","Qvi-Qvt Elev Lower
 (ft)","Qvt Depth Upper
 (ft)","Qvt Depth Lower
 (ft)","Qvt Elev Upper
 (ft)","Qvt Elev Lower
 (ft)","Qvis-Qva Depth Upper
(ft)","Qvis-Qva Depth Lower
(ft)","Qvis-Qva Elev Upper
(ft)","Qvis-Qva Elev Lower
(ft)","Qva Depth
Upper
(ft)","Qva Depth
Lower
(ft)","Qva Elev
Upper
(ft)","Qva Elev
Lower
(ft)","Qva-Qpvg Depth Upper
(ft)","Qva-Qpvg Depth Lower
(ft)","Qva-Qpvg Elev Upper
(ft)","Qva-Qpvg Elev Lower
(ft)","Qo Depth Upper
(ft)","Qo Depth Lower
(ft)","Qo Elev Upper
(ft)","Qo Elev Lower
(ft)","Qo-Qpo Depth Upper
(ft)","Qo-Qpo Depth Lower
(ft)","Qo-Qpo Elev Upper
(ft)","Qo-Qpo Elev Lower
(ft)","Qpo Depth Upper
(ft)","Qpo Depth Lower
(ft)","Qpo Elev Upper
(ft)","Qpo Elev Lower
(ft)","Qpog Depth Upper
(ft)","Qpog Depth Lower
(ft)","Qpog Elev Upper
(ft)","Qpog Elev Lower
(ft)","Qpvg Depth Upper
(ft)","Qpvg Depth Lower
(ft)","Qpvg Elev Upper
(ft)","Qpvg Elev Lower
(ft)","Qpvg-Qpy Depth Upper
(ft)","Qpvg-Qpy Depth Lower
(ft)","Qpvg-Qpy Elev Upper
(ft)","Qpvg-Qpy Elev Lower
(ft)","Qpy Depth Upper
(ft)","Qpy Depth Lower
(ft)","Qpy Elev Upper
(ft)","Qpy Elev Lower
(ft)","Qppyg Depth Upper
(ft)","Qppyg Depth Lower
(ft)","Qppyg Elev Upper
(ft)","Qppyg Elev Lower
(ft)","Qppyn Depth Upper
(ft)","Qppyn Depth Lower
(ft)","Qppyn Elev Upper
(ft)","Qppyn Elev Lower
(ft)"
{fb84afdb-7079-4405-a5e8-4a8b4791fd46},B-6,B-6 Log,556.0,60.0,496.0,Qo,--,--,--,--,0.0,28.0,556.0,528.0,--,--,--,--,--,--,--,--,--,--,--,--,28.0,40.0,528.0,516.0,--,--,--,--,--,--,--,--,--,--,--,--,40,BBOH,516.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{f596dd17-aeaf-44f2-9506-99a6c9f44444},EB-53,EB-53 Log,558.0,160.0,398.0,Qpy,--,--,--,--,0.0,20.5,558.0,537.5,--,--,--,--,--,--,--,--,20.5,26.5,537.5,531.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26.5,92.5,531.5,465.5,92.5,138,465.5,420.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138,BBOH,420.0,BBOH,--,--,--,--,--,--,--,--
{d55dfe9c-5d44-4f13-b1f0-d37241f28f1f},EB-53W,EB-53W Log,558.5,136.0,422.5,Qo-Qpo,--,--,--,--,0.0,22.0,558.5,536.5,--,--,--,--,--,--,--,--,--,--,--,--,22.0,28.0,536.5,530.5,--,--,--,--,--,--,--,--,--,--,--,--,28,92.5,530.5,466.0,92.5,BBOH,466.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{ef393255-76be-4d38-b4d1-803339b63931},EB-54UIC,EB-54UIC Log,562.0,100.0,462.0,Qo,--,--,--,--,0.0,20.0,562.0,542.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,BBOH,542.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{9f694fb7-8a1b-448b-9db7-d5d93b28b449},EB-55UIC,EB-55UIC Log,557.1,100.0,457.1,Qo-Qpo,--,--,--,--,0.5,30.0,556.6,527.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,92,527.1,465.1,92,BBOH,465.1,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{cd971f33-9bb9-41c1-ab43-9a7ee81e9389},EB-56UIC,EB-56UIC Log,562.0,101.0,461.0,Qo-Qpo,--,--,--,--,0.0,29.0,562.0,533.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,95,533.0,467.0,95,BBOH,467.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{3c040e65-289b-403a-897e-08c88c53d141},EB-62UIC,EB-62UIC Log,545.9,70.0,475.9,Qo,--,--,--,--,0.0,20.0,545.9,525.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,BBOH,525.9,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{773d88d7-9183-406c-9e13-d9f99400a439},EB-63UIC,EB-63UIC Log,542.9,70.0,472.9,Qo,--,--,--,--,0.0,18.5,542.9,524.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.5,BBOH,524.4,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
{682bf731-fd26-4873-9e7a-edf0aeb86c14},EB-64W,EB-64W Log,545.0,135.5,409.5,Qo-Qpo,--,--,--,--,0.0,20.0,545.0,525.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,80,525.0,465.0,80,BBOH,465.0,BBOH,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
